Name 1,Name 2,Lon,Lat,Model,Sowing Day,Sowing Month,Start Year,End Year,Flowering Mean,Flowering SD,Maturity Mean,Maturity SD
Njombe.2,Njombe Urban,34.475,-9.625,Beta_4,1,1,1980,2009,54.7,3.21,52.8,3.21
Njombe.3,Wanging'ombe,34.475,-9.375,Beta_4,1,1,1980,2009,69.5,7.2,85.4,12.27
Njombe.4,Njombe,34.975,-9.375,Beta_4,1,1,1980,2009,61.7,4.68,66.6,5.17
Njombe.5,Makambako Township Authority,34.725,-8.875,Beta_4,1,1,1980,2009,53.6,2.68,51.1,3.14
Pwani,Mafia,39.725,-7.875,Beta_4,1,1,1980,2009,49.7,0.64,35.5,1.22
Pwani.1,Rufiji,38.975,-7.625,Beta_4,1,1,1980,2009,49.6,0.57,36,1.25
Pwani.2,Mkuranga,38.725,-7.375,Beta_4,1,1,1980,2009,49.2,0.41,38.3,1.36
Pwani.3,Kibaha,38.475,-6.875,Beta_4,1,1,1980,2009,49.8,0.73,35.5,1.28
Pwani.4,Kisarawe,38.475,-6.875,Beta_4,1,1,1980,2009,49.8,0.73,35.5,1.28
Pwani.5,Bagamoyo,38.225,-6.625,Beta_4,1,1,1980,2009,49.4,0.49,36.2,1.6
Pwani.6,Kibaha Urban,38.725,-6.625,Beta_4,1,1,1980,2009,49.4,0.5,36.1,1.36
Rukwa,Sumbawanga Urban,31.475,-8.125,Beta_4,1,1,1980,2009,53.8,3.99,51.4,5.55
Rukwa.1,Sumbawanga Rural,31.975,-8.125,Beta_4,1,1,1980,2009,54.9,3.64,54.4,5.29
Rukwa.2,Nkasi,31.225,-7.875,Beta_4,1,1,1980,2009,49.9,1.39,43.2,3.17
Rukwa.3,Lake Rukwa,31.975,-7.875,Beta_4,1,1,1980,2009,49.8,0.73,36.6,2.34
Rukwa.4,Kalambo,31.975,-8.875,Beta_4,1,1,1980,2009,59.8,5.63,62.4,7.33
Rukwa.5,Lake Tanganyika,30.975,-8.375,Beta_4,1,1,1980,2009,49.6,1.16,42,3.46
Ruvuma,Nyasa,34.725,-10.375,Beta_4,1,1,1980,2009,51.3,1.79,46,2.91
Ruvuma.1,Tunduru,36.725,-11.625,Beta_4,1,1,1980,2009,49.4,0.5,39.7,1.83
Ruvuma.2,Namtumbo,36.725,-11.625,Beta_4,1,1,1980,2009,49.4,0.5,39.7,1.83
Ruvuma.3,Songea Rural,35.475,-11.375,Beta_4,1,1,1980,2009,49.9,1.01,42.7,2.45
Ruvuma.4,Mbinga,34.975,-10.625,Beta_4,1,1,1980,2009,53.7,2.89,51.9,3.44
Ruvuma.5,Songea Urban,35.475,-10.625,Beta_4,1,1,1980,2009,52,2.16,48,2.97
Shinyanga,Kahama,32.475,-4.125,Beta_4,1,1,1980,2009,50.8,1.05,45.6,2.55
Shinyanga.1,Kahama Township Authority,32.475,-3.875,Beta_4,1,1,1980,2009,50.8,0.99,45.8,2.46
Shinyanga.2,Shinyanga Rural,32.975,-3.875,Beta_4,1,1,1980,2009,50.4,1,44.6,2.3
Shinyanga.3,Shinyanga Urban,33.475,-3.875,Beta_4,1,1,1980,2009,50.5,0.97,44.8,2.15
Shinyanga.4,Kishapu,33.475,-3.625,Beta_4,1,1,1980,2009,50.5,0.97,44.8,2.23
Simiyu,Lake Eyasi,34.975,-3.375,Beta_4,1,1,1980,2009,56.2,3,53.8,3.6
Simiyu.1,Maswa,33.475,-3.125,Beta_4,1,1,1980,2009,50.8,0.94,45.3,2.17
Simiyu.2,Lake Victoria,33.475,-2.625,Beta_4,1,1,1980,2009,51.1,1.05,46,2.09
Simiyu.3,Busega,33.725,-2.375,Beta_4,1,1,1980,2009,51,0.95,45.6,2.11
Simiyu.4,Meatu,34.225,-3.875,Beta_4,1,1,1980,2009,50.4,1.1,44.3,2.2
Simiyu.5,Itilima,33.725,-3.125,Beta_4,1,1,1980,2009,51.9,1.42,47.6,2.25
Simiyu.6,Bariadi,33.725,-2.625,Beta_4,1,1,1980,2009,51.1,1.06,45.9,2.04
Singida,Manyoni,35.225,-5.375,Beta_4,1,1,1980,2009,51.7,1.66,46.9,2.54
