"","filename","Name 1","Name 2","Lon","Lat","Model","Sowing Day","Sowing Month","Start Year","End Year","Flowering Mean","Flowering SD","Maturity Mean","Maturity SD"
"67","V1_1980_2009_0102101112_011020","Mbeya.4","Mbozi","32.975","-9.375","Beta_4",10,11,1980,2009,56.3,3.63,56,5.37
"68","V1_1980_2009_0102101112_011020","Mbeya.4","Mbozi","32.975","-9.375","Beta_4",10,12,1980,2009,56.5,3.43,55.6,4.56
"69","V1_1980_2009_0102101112_011020","Mbeya.4","Mbozi","32.975","-9.375","Beta_4",10,1,1980,2009,56.6,3.29,57.2,4.29
"70","V1_1980_2009_0102101112_011020","Mbeya.4","Mbozi","32.975","-9.375","Beta_4",10,2,1980,2009,56.1,2.66,64.3,5.69
"71","V1_1980_2009_0102101112_011020","Mbeya.4","Mbozi","32.975","-9.375","Beta_4",20,10,1980,2009,56.6,3.68,55.9,5.61
"72","V1_1980_2009_0102101112_011020","Mbeya.4","Mbozi","32.975","-9.375","Beta_4",20,11,1980,2009,56.3,3.56,55.9,4.95
"73","V1_1980_2009_0102101112_011020","Mbeya.4","Mbozi","32.975","-9.375","Beta_4",20,12,1980,2009,56.5,3.19,55.7,4.02
"74","V1_1980_2009_0102101112_011020","Mbeya.4","Mbozi","32.975","-9.375","Beta_4",20,1,1980,2009,56.4,3.1,58.8,4.31
"75","V1_1980_2009_0102101112_011020","Mbeya.4","Mbozi","32.975","-9.375","Beta_4",20,2,1980,2009,56.4,2.4,68,6.58
"76","V1_1980_2009_0102101112_011020","Mbeya.5","Kyela","33.725","-9.375","Beta_4",1,10,1980,2009,61.5,4.8,59.7,7.57
"77","V1_1980_2009_0102101112_011020","Mbeya.5","Kyela","33.725","-9.375","Beta_4",1,11,1980,2009,59.4,5.15,59.5,6.55
"78","V1_1980_2009_0102101112_011020","Mbeya.5","Kyela","33.725","-9.375","Beta_4",1,12,1980,2009,58.8,4.88,59.4,5.18
"79","V1_1980_2009_0102101112_011020","Mbeya.5","Kyela","33.725","-9.375","Beta_4",1,1,1980,2009,59,4.56,61.9,4.96
"80","V1_1980_2009_0102101112_011020","Mbeya.5","Kyela","33.725","-9.375","Beta_4",1,2,1980,2009,58.9,3.68,70.1,7.31
"81","V1_1980_2009_0102101112_011020","Mbeya.5","Kyela","33.725","-9.375","Beta_4",10,10,1980,2009,60.8,4.8,59.5,7.26
"82","V1_1980_2009_0102101112_011020","Mbeya.5","Kyela","33.725","-9.375","Beta_4",10,11,1980,2009,59.2,5.05,59.4,6.01
"83","V1_1980_2009_0102101112_011020","Mbeya.5","Kyela","33.725","-9.375","Beta_4",10,12,1980,2009,58.8,4.61,59.3,4.73
"84","V1_1980_2009_0102101112_011020","Mbeya.5","Kyela","33.725","-9.375","Beta_4",10,1,1980,2009,59,4.25,63.7,5.33
"85","V1_1980_2009_0102101112_011020","Mbeya.5","Kyela","33.725","-9.375","Beta_4",10,2,1980,2009,58.9,3.33,74.3,8.04
"86","V1_1980_2009_0102101112_011020","Mbeya.5","Kyela","33.725","-9.375","Beta_4",20,10,1980,2009,60.1,4.98,59.7,6.8
"87","V1_1980_2009_0102101112_011020","Mbeya.5","Kyela","33.725","-9.375","Beta_4",20,11,1980,2009,59,5.05,59.3,5.73
"88","V1_1980_2009_0102101112_011020","Mbeya.5","Kyela","33.725","-9.375","Beta_4",20,12,1980,2009,58.7,4.35,59.9,4.2
"89","V1_1980_2009_0102101112_011020","Mbeya.5","Kyela","33.725","-9.375","Beta_4",20,1,1980,2009,58.9,4.02,66,6.14
"90","V1_1980_2009_0102101112_011020","Mbeya.5","Kyela","33.725","-9.375","Beta_4",20,2,1980,2009,59.2,2.79,79,9.06
"91","V1_1980_2009_0102101112_011020","Mbeya.6","Momba","32.475","-9.125","Beta_4",1,10,1980,2009,54.9,2.88,52.4,5.44
"92","V1_1980_2009_0102101112_011020","Mbeya.6","Momba","32.475","-9.125","Beta_4",1,11,1980,2009,54.1,2.83,53.8,5.73
"93","V1_1980_2009_0102101112_011020","Mbeya.6","Momba","32.475","-9.125","Beta_4",1,12,1980,2009,54.6,3.05,54.1,5.32
"94","V1_1980_2009_0102101112_011020","Mbeya.6","Momba","32.475","-9.125","Beta_4",1,1,1980,2009,55.6,3.5,55.3,5.04
